Image,Frequency,JPEG_Quality,PSNR,SSIM,NC
4.2.03.tiff,Low,90,33.49342484342239,0.9537840401375378,1.0
4.2.03.tiff,Low,70,33.49342484342239,0.9537840401375378,1.0
4.2.03.tiff,Low,50,33.49342484342239,0.9537840401375378,1.0
4.2.03.tiff,Low,30,33.49342484342239,0.9537840401375378,1.0
4.2.03.tiff,Low,10,33.49342484342239,0.9537840401375378,1.0
4.2.03.tiff,Mid,90,33.492189926989525,0.9450212559522533,1.0
4.2.03.tiff,Mid,70,33.492189926989525,0.9450212559522533,1.0
4.2.03.tiff,Mid,50,33.492189926989525,0.9450212559522533,1.0
4.2.03.tiff,Mid,30,33.492189926989525,0.9450212559522533,0.4638671875
4.2.03.tiff,Mid,10,33.492189926989525,0.9450212559522533,0.0029296875
4.2.03.tiff,High,90,33.58755629084919,0.9463193200343589,1.0
4.2.03.tiff,High,70,33.58755629084919,0.9463193200343589,0.9921875
4.2.03.tiff,High,50,33.58755629084919,0.9463193200343589,0.06298828125
4.2.03.tiff,High,30,33.58755629084919,0.9463193200343589,0.00244140625
4.2.03.tiff,High,10,33.58755629084919,0.9463193200343589,0.01025390625
4.2.05.tiff,Low,90,33.4862675523409,0.8375534333018285,1.0
4.2.05.tiff,Low,70,33.4862675523409,0.8375534333018285,1.0
4.2.05.tiff,Low,50,33.4862675523409,0.8375534333018285,1.0
4.2.05.tiff,Low,30,33.4862675523409,0.8375534333018285,1.0
4.2.05.tiff,Low,10,33.4862675523409,0.8375534333018285,1.0
4.2.05.tiff,Mid,90,33.482631306860114,0.8095442332277142,1.0
4.2.05.tiff,Mid,70,33.482631306860114,0.8095442332277142,1.0
4.2.05.tiff,Mid,50,33.482631306860114,0.8095442332277142,1.0
4.2.05.tiff,Mid,30,33.482631306860114,0.8095442332277142,0.07470703125
4.2.05.tiff,Mid,10,33.482631306860114,0.8095442332277142,-0.021484375
4.2.05.tiff,High,90,33.57912864185346,0.8138316465470409,1.0
4.2.05.tiff,High,70,33.57912864185346,0.8138316465470409,0.9501953125
4.2.05.tiff,High,50,33.57912864185346,0.8138316465470409,-0.01025390625
4.2.05.tiff,High,30,33.57912864185346,0.8138316465470409,-0.01220703125
4.2.05.tiff,High,10,33.57912864185346,0.8138316465470409,-0.0166015625
4.2.07.tiff,Low,90,33.6122312808226,0.8702150641733427,1.0
4.2.07.tiff,Low,70,33.6122312808226,0.8702150641733427,1.0
4.2.07.tiff,Low,50,33.6122312808226,0.8702150641733427,1.0
4.2.07.tiff,Low,30,33.6122312808226,0.8702150641733427,1.0
4.2.07.tiff,Low,10,33.6122312808226,0.8702150641733427,0.98046875
4.2.07.tiff,Mid,90,33.6133468329544,0.848897493609102,1.0
4.2.07.tiff,Mid,70,33.6133468329544,0.848897493609102,1.0
4.2.07.tiff,Mid,50,33.6133468329544,0.848897493609102,0.96044921875
4.2.07.tiff,Mid,30,33.6133468329544,0.848897493609102,0.0556640625
4.2.07.tiff,Mid,10,33.6133468329544,0.848897493609102,0.01611328125
4.2.07.tiff,High,90,33.709746651109775,0.8528380485562783,1.0
4.2.07.tiff,High,70,33.709746651109775,0.8528380485562783,0.9248046875
4.2.07.tiff,High,50,33.709746651109775,0.8528380485562783,-0.01123046875
4.2.07.tiff,High,30,33.709746651109775,0.8528380485562783,-0.0166015625
4.2.07.tiff,High,10,33.709746651109775,0.8528380485562783,-0.01171875
